,Unnamed: 0,[Service ID],[WSDL Address],[Service Provider],[IP Address],[Country],[IP No.],[AS],[Latitude],[Longitude]
19,19,19,http://www.enterpriseconnect.gov.au/_vti_bin/People.asmx?wsdl,1312,2453,8,2,252,-27.0,133.0
20,20,20,http://www.enterpriseconnect.gov.au/_vti_bin/Authentication.asmx?wsdl,1312,2453,8,2,252,-27.0,133.0
21,21,21,http://www.industry.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl,226,2064,8,2,252,-35.276,149.1344
22,22,22,http://www.industry.gov.au/_vti_bin/People.asmx?wsdl,226,2064,8,2,252,-35.276,149.1344
23,23,23,http://www.industry.gov.au/_vti_bin/Authentication.asmx?wsdl,226,2064,8,2,252,-35.276,149.1344
24,24,24,http://www.microsoftsharepoint.com/venue/_vti_bin/SharepointEmailWS.asmx?wsdl,859,75,8,2,6,-27.0,133.0
25,25,25,http://www.microsoftsharepoint.com/venue/_vti_bin/BusinessDataCatalog.asmx?wsdl,859,75,8,2,6,-27.0,133.0
26,26,26,http://www.microsoftsharepoint.com/agenda/_vti_bin/Authentication.asmx?wsdl,859,75,8,2,6,-27.0,133.0
27,27,27,http://www.microsoftsharepoint.com/agenda/_vti_bin/People.asmx?wsdl,859,75,8,2,6,-27.0,133.0
28,28,28,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/UserProfileService.asmx?wsdl,1782,1895,8,2,1277,-31.9522,115.8614
29,29,29,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/Authentication.asmx?wsdl,1782,1895,8,2,1277,-31.9522,115.8614
30,30,30,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/People.asmx?wsdl,1782,1895,8,2,1277,-31.9522,115.8614
31,31,31,http://www.westernaustralia.com/de/_vti_bin/UserProfileService.asmx?wsdl,1562,2335,31,2,1277,-31.9522,115.8614
32,32,32,http://www.westernaustralia.com/de/_vti_bin/Authentication.asmx?wsdl,1562,2335,31,2,1277,-31.9522,115.8614
33,33,33,http://www.westernaustralia.com/de/_vti_bin/People.asmx?wsdl,1562,2335,31,2,1277,-31.9522,115.8614
34,34,34,http://www.stpatricks.qld.edu.au/_vti_bin/Authentication.asmx?wsdl,2264,1810,8,0,1314,-33.8615,151.2055
35,35,35,http://www.stpatricks.qld.edu.au/_vti_bin/People.asmx?wsdl,2264,1810,8,0,1314,-33.8615,151.2055
36,36,36,http://www.iress.com.au/AutoComplete.asmx?WSDL,2338,2141,8,2,1455,-27.0,133.0
37,37,37,http://www.shn.org.au/UserAddModify.asmx?wsdl,739,2379,8,2,416,-37.8232,144.9729
38,38,38,http://services1.pharmx.com.au/order/supplierlist.asmx?WSDL,526,779,8,2,1126,-33.4333,151.3833
39,39,39,http://www.abn.business.gov.au/abrxmlpubsub/ABRXMLPubSub.asmx?WSDL,2077,1799,8,2,252,-35.276,149.1344
40,40,40,http://www.crickscore.com/services/Version?wsdl,387,30,8,2,967,34.0533,-118.2549
41,41,41,http://www.crickscore.com/services/TeamAccess?wsdl,387,30,8,2,967,34.0533,-118.2549
42,42,42,http://crickscore.com/services/Statistics?wsdl,387,30,8,2,967,34.0533,-118.2549
43,43,43,http://au.gamecreate.com/admin/ExternalAuthentication.asmx?WSDL,1472,1262,8,1,1566,-27.0,133.0
44,44,44,http://api.godo.com.au/soap/v1_00/productManager.cfc?WSDL,1873,641,8,2,86,-27.0,133.0
45,45,45,http://api.godo.com.au/soap/v1_00/product.cfc?WSDL,1873,641,8,2,86,-27.0,133.0
46,46,46,http://api.godo.com.au/soap/v1_00/licenceManager.cfc?WSDL,1873,641,8,2,86,-27.0,133.0
47,47,47,http://api.godo.com.au/soap/v1_00/order.cfc?WSDL,1873,641,8,2,86,-27.0,133.0
48,48,48,http://www.mp3.com.au/WebServices/PlayerService.asmx?WSDL,1856,1595,8,0,1075,37.3394,-121.895
49,49,49,http://www.mp3.com.au/WebServices/GalleryService.asmx?WSDL,1856,1595,8,0,1075,37.3394,-121.895
50,50,50,http://www.mp3.com.au/WebServices/MediaGroupService.asmx?WSDL,1856,1595,8,0,1075,37.3394,-121.895
51,51,51,http://www.mp3.com.au/WebServices/LocationService.asmx?WSDL,1856,1595,8,0,1075,37.3394,-121.895
52,52,52,http://webservices.seek.com.au/FastLanePlus.asmx?wsdl,1482,1744,8,2,40,-27.0,133.0
53,53,53,http://webct.swin.edu.au/webct/axis/Version?wsdl,1591,8,8,1,1373,-27.0,133.0
54,54,54,http://soap.bondwireless.com/soap/services/SmsGateway?wsdl,1130,2493,8,2,1277,-34.9286,138.6007
55,55,55,http://soap.bondwireless.com/soap/services/Enigma?wsdl,1130,2493,8,2,1277,-34.9286,138.6007
56,56,56,http://maps.nsw.gov.au/wsdl/AddressSearch.wsdl,1057,520,8,2,144,-33.4708,149.6033
57,57,57,http://maps.nsw.gov.au/wsdl/AddressImageWS.wsdl,1057,520,8,2,144,-33.4708,149.6033
58,58,58,http://www.myboot.com.au/webservice/shared/galleries/resources.asmx?WSDL,2141,1198,8,0,1251,51.0,9.0
59,59,59,http://www.myboot.com.au/webservice/myboot/suburb/picker.asmx?WSDL,2141,1198,8,0,1251,51.0,9.0
60,60,60,http://www.originalsfestival.com.au/PublicService.asmx?WSDL,1339,1236,8,5,800,,
61,61,61,http://xml.redcoal.com/soapserver.dll/wsdl/ISoapServer,1672,2450,8,0,1445,-27.0,133.0
62,62,62,http://www.stratapay.com.au/ecommservices.asmx?WSDL,142,898,8,0,416,-27.465,153.0234
63,63,63,http://sti.subaru.com.au/templates/global/cfc/banner_home.cfc?wsdl,2410,2488,8,0,1408,29.4889,-98.3987
64,64,64,http://sti.subaru.com.au/templates/global/cfc/banner_showrm.cfc?wsdl,2410,2488,8,0,1408,29.4889,-98.3987
65,65,65,http://direct.tab.com.au/LiveOdds/Services/Racing/Racing.wsdl,2210,1577,8,0,1463,38.9599,-77.3428
66,66,66,http://direct.tab.com.au/liveodds/services/login/login.wsdl,2210,1577,8,0,1463,38.9599,-77.3428
67,67,67,http://www.taet.com.au/Web+Service+Agent.nsf/RandomDirectoryWSDL,696,639,8,5,408,,
68,68,68,http://www.taet.com.au/Web+Service+Agent.nsf/DirectoryWSDL,696,639,8,5,408,,
69,69,69,http://staff.it.uts.edu.au/~chw/hellorpc.php?wsdl,2468,607,8,0,1441,1.3667,103.8
70,70,70,http://blackboxlbs.com/BlackBoxWebservice/BlackBoxMiddleTier.asmx?WSDL,1918,1768,8,5,1117,,
71,71,71,http://www.connectingcare.com/webservice/ccereferral.asmx?wsdl,2668,2517,8,2,619,-37.8139,144.9634
72,72,72,http://webapp.genexis.com.au/twitterearth/Service.asmx?WSDL,623,1149,8,2,1139,-27.0,133.0
73,73,73,http://www.golfintelligence.com.au/course.asmx?WSDL,2659,33,8,0,1575,-27.0,133.0
74,74,74,http://engine.grunt.tv/2_1Discover/Discover.asmx?WSDL,20,1413,8,2,303,-27.0,133.0
75,75,75,http://hookmeup.com.au/Services/Service.asmx?WSDL,30,1044,8,0,192,-27.0,133.0
76,76,76,http://sp-s3g.iclp.com.au/ws/egapi/v1-0/egapi.cfc?wsdl,2049,1874,8,5,1177,,
77,77,77,http://www.interpro.com.au/JobsliveWS/RandomJobPicker.asmx?WSDL,472,561,8,2,252,-33.8615,151.2055
78,78,78,http://www.messagenet.com.au/dotnet/Lodge.asmx?wsdl,705,2297,8,2,1069,-37.7667,144.9167
79,79,79,http://motormouth.net.au/Services/FuelPricingServices.asmx?wsdl,1767,762,8,2,1566,-27.4833,152.9833
80,80,80,http://www.rugbyleaguelive.com/ContentService.asmx?wsdl,1609,1051,8,0,1287,39.0437,-77.4875
81,81,81,http://www.secureparking.com.au/CarsService.asmx?WSDL,772,122,8,0,1163,-27.0,133.0
82,82,82,http://www.smsglobal.com.au/mobileworks/soapserver.php?wsdl,2032,2241,8,2,1193,-37.8139,144.9634
83,83,83,http://www.travelsim.net.au/phpincs/test/travelsim.wsdl,609,1909,8,0,373,-33.8833,151.2167
84,84,84,http://webnet.usq.edu.au/USQProgramSearch/AutoCompleteSearch.asmx?WSDL,1178,178,8,1,1373,-27.0,133.0
85,85,85,http://shop.virginvieathome.com/AddToBasketService.asmx?WSDL,2050,2027,38,2,1483,51.5142,-0.0931
86,86,86,http://forums.genom-e.com/_vti_bin/BusinessDataCatalog.asmx?wsdl,475,434,38,5,293,,
87,87,87,http://forums.genom-e.com/_vti_bin/SharepointEmailWS.asmx?wsdl,475,434,38,5,293,,
88,88,88,http://forums.genom-e.com/_vti_bin/People.asmx?wsdl,475,434,38,5,293,,
89,89,89,http://forums.genom-e.com/_vti_bin/Authentication.asmx?wsdl,475,434,38,5,293,,
90,90,90,http://almighty.pri.univie.ac.at/~mangler/helloService.wsdl,1134,1560,38,1,1315,48.2,16.3667
91,91,91,http://almighty.pri.univie.ac.at/~mangler/ORA/ora.wsdl,1134,1560,38,1,1315,48.2,16.3667
92,92,92,http://www.pri.univie.ac.at/~mangler/CEWebS/Homework/,1134,1560,38,1,1315,48.2,16.3667
93,93,93,http://www.arikan.at/axis/services/urn:xmltoday-delayed-quotes?wsdl,88,1,38,0,1101,45.5,-73.5833
94,94,94,http://www.arikan.at/axis/services/BankService?wsdl,88,1,38,0,1101,45.5,-73.5833
95,95,95,http://www.arikan.at/axis/services/CountryService?wsdl,88,1,38,0,1101,45.5,-73.5833
96,96,96,http://www.arikan.at/axis/services/Version?wsdl,88,1,38,0,1101,45.5,-73.5833
97,97,97,http://www.arikan.at/axis/services/DistrictService?wsdl,88,1,38,0,1101,45.5,-73.5833
98,98,98,http://www.arikan.at/axis/services/InsuranceService?wsdl,88,1,38,0,1101,45.5,-73.5833
99,99,99,http://www.arikan.at/axis/services/urn:cominfo?wsdl,88,1,38,0,1101,45.5,-73.5833
100,100,100,http://www.arikan.at/axis/services/SOAPMonitorService?wsdl,88,1,38,0,1101,45.5,-73.5833
101,101,101,http://office.faircheck.at/paraTesting/WebService/SVSR_Termin.asmx?WSDL,210,1374,38,0,131,47.3333,13.3333
102,102,102,http://office.faircheck.at/paraTesting/WebService/SVSR_Akt_Lookup.asmx?WSDL,210,1374,38,0,131,47.3333,13.3333
103,103,103,http://olymp.ifs.tuwien.ac.at:8088/SOMTrainer?wsdl,476,2511,38,1,1479,48.2,16.3667
104,104,104,http://olymp.ifs.tuwien.ac.at:8088/AudioFeatureExtractor?wsdl,476,2511,38,1,1479,48.2,16.3667
105,105,105,http://madrid.vitalab.tuwien.ac.at:8152/axis2/services/SkypeWebService?wsdl,476,2511,38,1,1479,48.2,16.3667
106,106,106,http://dconx.biz/messagestest.asmx?WSDL,197,821,58,2,1464,48.6328,2.4405
107,107,107,http://dconx.biz/messages.asmx?WSDL,197,821,58,2,1464,48.6328,2.4405
108,108,108,http://dotnet.jku.at/csbook/solutions/19/BookStoreService.asmx?WSDL,1641,1448,38,1,1489,48.3,14.3
109,109,109,http://dotnet.jku.at/buch/samples/7/simple/TimeService1.asmx?WSDL,1641,1448,38,1,1489,48.3,14.3
110,110,110,http://dotnet.jku.at/book/samples/7/encoding/PersonService.asmx?WSDL,1641,1448,38,1,1489,48.3,14.3
111,111,111,http://dotnet.jku.at/book/samples/7/lifecycle/StateDemo.asmx?WSDL,1641,1448,38,1,1489,48.3,14.3
112,112,112,http://www.elba.at/SOAP/SOAPServer.php?wsdl,1205,1123,38,5,728,,
113,113,113,http://travel.jet.at/JtrWebService/JtrWebService.asmx?WSDL,2192,747,38,0,306,47.3333,13.3333
114,114,114,http://www.allesheute.at/kinoimport/import.asmx?WSDL,807,1167,38,2,395,51.0,9.0
115,115,115,http://www.noe.bauakademie.at/importexport/export.asmx?WSDL,1746,1592,38,5,1015,,
116,116,116,http://limitz.jugendsport.at/wsdl.php?wsdl,2179,2041,31,5,1274,,
117,117,117,http://jukebox.ch/Interpretenliste.asmx?WSDL,286,1939,38,2,1068,47.7167,13.6167
118,118,118,http://www.nanonull.com/TimeService/TimeService.asmx?wsdl,1241,1672,38,0,1067,47.8,16.25
119,119,119,http://wartung.priso.net/Service1.asmx?WSDL,838,748,38,5,498,,
120,120,120,http://www.calstatela.edu/faculty/jmiller6/cs454-winter2003/notes/sort.wsdl,291,1984,0,2,791,40.0548,-75.4083
121,121,121,http://www.bisc.by/blank/WEB.WebServ.CLS?WSDL=1,1774,1242,22,2,908,53.0,28.0
122,122,122,http://www.g-o.be/_vti_bin/BusinessDataCatalog.asmx?wsdl,2364,2211,63,5,1385,,
123,123,123,http://www.g-o.be/_vti_bin/People.asmx?wsdl,2364,2211,63,5,1385,,
124,124,124,http://www.g-o.be/_vti_bin/Authentication.asmx?wsdl,2364,2211,63,5,1385,,
125,125,125,http://www.sra.nl/_vti_bin/SharepointEmailWS.asmx?wsdl,385,2328,63,2,1430,52.5,5.75
126,126,126,http://www.sra.nl/_vti_bin/BusinessDataCatalog.asmx?wsdl,385,2328,63,2,1430,52.5,5.75
127,127,127,http://www.sra.nl/_vti_bin/People.asmx?wsdl,385,2328,63,2,1430,52.5,5.75
128,128,128,http://www.sra.nl/_vti_bin/Authentication.asmx?wsdl,385,2328,63,2,1430,52.5,5.75
129,129,129,http://www.u2u.info/_vti_bin/BusinessDataCatalog.asmx?wsdl,64,51,63,5,27,,
130,130,130,http://www.u2u.info/_vti_bin/People.asmx?wsdl,64,51,63,5,27,,
131,131,131,http://www.u2u.info/_vti_bin/Authentication.asmx?wsdl,64,51,63,5,27,,
132,132,132,http://tomcat.esat.kuleuven.be/axis/services/Version?wsdl,2012,1719,63,1,260,50.8833,4.7
133,133,133,http://ariadne.cs.kuleuven.be/AWS/services/SessionManagementService?wsdl,2012,1719,63,1,260,50.8833,4.7
134,134,134,http://tomcat.esat.kuleuven.be/axis/ToucanSOAPService.jws?wsdl,2012,1719,63,1,260,50.8833,4.7
135,135,135,http://ariadne.cs.kuleuven.ac.be/SQI/wsdl/SessionManagement.wsdl,2582,1719,63,1,260,50.8833,4.7
136,136,136,http://agiv.be/gis/localService.asmx?WSDL,2594,1492,63,2,260,51.05,3.7167
137,137,137,http://jure.juridat.just.fgov.be/PORTALSEARCH/PortalSearchWSSoapHttpPort?WSDL,1679,2034,63,2,260,50.8333,4.0
138,138,138,http://www.idtdna.com/AnalyzerService/AnalyzerService.asmx?WSDL,1435,895,1,0,546,45.1708,-93.5758
139,139,139,http://eu.idtdna.com/Ajax/ModService.asmx?wsdl,1435,895,63,0,546,45.1708,-93.5758
140,140,140,http://www.vlm.be/_vti_bin/WebPartPages.asmx?wsdl,1533,528,63,2,260,50.8333,4.0
141,141,141,http://www.ebcs.be/iban/IBANBIC.asmx?WSDL,2531,471,63,0,1473,38.9311,-77.3489
142,142,142,http://www.ebcs.be/iban/Olo.asmx?WSDL,2531,1740,63,0,1473,38.9311,-77.3489
143,143,143,http://www.ebcs.be/iban/Cijfers.asmx?WSDL,2531,411,63,0,1473,38.9311,-77.3489
144,144,144,http://www.webservices.etnic.be/ws_libelle/convert_libelle.wsdl,2039,693,63,2,260,50.8333,4.3333
145,145,145,http://www.ibanbic.be/Cijfers.asmx?WSDL,2528,411,63,0,1470,38.9311,-77.3489
146,146,146,http://www.ibanbic.be/Olo.asmx?WSDL,2528,1752,63,0,1470,38.9311,-77.3489
147,147,147,http://www.ibanbic.be/IBANBIC.asmx?WSDL,2528,471,63,0,1470,38.9311,-77.3489
148,148,148,http://kbcactions.microsite.be/festivals09/service.asmx?WSDL,1480,1349,63,5,863,,
149,149,149,http://walibi.microsite.be/hero_service/hero_service.asmx?WSDL,1480,1349,63,5,863,,
150,150,150,http://mercedesdreamfactory.microsite.be/ws/ws.asmx?WSDL,1480,1349,63,5,863,,
151,151,151,http://kayak.environnement.wallonie.be/services/WSStationsNL?wsdl,989,2238,63,1,260,50.8333,4.0
152,152,152,http://www.4allsms.com/sendsms.asmx?WSDL,2440,1991,63,0,1422,50.8333,4.0
153,153,153,http://budgetassistant.axionweb.be/service.asmx?WSDL,493,615,63,2,1370,50.8333,4.0
154,154,154,http://staging.blueridge.be/DSXMLSigner/main.asmx?WSDL,1479,1347,63,5,862,,
155,155,155,http://clacpercussie.be/controls/flashnews/content.asmx?wsdl,2081,1664,63,0,1203,55.6667,12.5833
156,156,156,http://services.groupes.be/iMobilWebService/iMobilWS.asmx?WSDL,640,452,63,2,485,50.8333,4.3333
157,157,157,http://www.hotels-europe.com/webservices/General.asmx?WSDL,217,1929,63,1,900,52.5,5.75
158,158,158,http://www.it-jobbank.co.uk/(A(QUnPf3I7XCdLYI5zAA44K-fQ2fl_9MR1yoaRY_lGCkUIBGbMs4gQe6BkO-dN0Lur9ViHHxr5PupUf1kyw3xbO3CRQS3TyJaeBPkLv8pIZ5U1))/WebServices/JobFeed.asmx?wsdl,1529,2357,63,0,813,50.8333,4.0
159,159,159,http://marinespecies.org/aphia.php?p=soap&wsdl=1,1953,564,63,2,260,50.8333,4.0
160,160,160,http://fe.bcc.proximity.be/WS/BCC_LINK_2008.asmx?WSDL,971,1037,63,2,1563,50.8333,4.0
161,161,161,http://www.spotter.be/Tech/MakeTickerData.asmx?wsdl,330,12,63,2,788,50.9333,4.4333
162,162,162,http://www.tiensesuiker.com/service/service.asmx?WSDL,1760,1704,63,2,55,50.8667,4.25
163,163,163,http://www.vladars.net/_vti_bin/BusinessDataCatalog.asmx?wsdl,1412,835,66,0,1111,44.7784,17.1939
164,164,164,http://www.vladars.net/sr-SP-Cyrl/_vti_bin/People.asmx?wsdl,1412,835,66,0,1111,44.7784,17.1939
165,165,165,http://www.vladars.net/sr-SP-Cyrl/_vti_bin/Authentication.asmx?wsdl,1412,835,66,0,1111,44.7784,17.1939
166,166,166,http://www.blberza.com/services/blse/ticker.asmx?WSDL,1944,1793,66,5,1128,,
167,167,167,http://www.innovatti.com.br/_vti_bin/search.asmx?wsdl,69,533,10,2,1190,-10.0,-55.0
168,168,168,http://www.innovatti.com.br/_vti_bin/AreaService.asmx?wsdl,69,533,10,2,1190,-10.0,-55.0
169,169,169,http://www.innovatti.com.br/_vti_bin/UserProfileService.asmx?wsdl,69,533,10,2,1190,-10.0,-55.0
170,170,170,http://www.innovatti.com.br/_vti_bin/Lists.asmx?wsdl,69,533,10,2,1190,-10.0,-55.0
171,171,171,http://seguro.brti.com.br/brtsi/services/ExternalAccountEventWS?wsdl,469,420,10,5,289,,
172,172,172,http://seguro.brti.com.br/brtsi/services/CustomerSearchWS?wsdl,469,420,10,5,289,,
173,173,173,http://desenv.tce.sc.gov.br:8080/axis/WSeO.jws?wsdl,425,1501,10,2,5,-10.0,-55.0
174,174,174,http://sistemas.sefaz.ba.gov.br/webservices/CL/wsCFP.asmx?WSDL,2112,1950,10,5,1227,,
175,175,175,http://centros.bvsalud.org/webservices/index.php?wsdl,1788,1510,10,2,1545,-23.4733,-46.6658
176,176,176,http://www.bvsalud.org/apps/basesws/index.php?wsdl,1788,1510,10,2,1545,-23.4733,-46.6658
177,177,177,http://cochrane.bvsalud.org/webservices/index.php?wsdl,1788,1510,10,2,1545,-23.4733,-46.6658
178,178,178,http://hidroweb.ana.gov.br/fcthservices/mma.asmx?WSDL,538,1127,10,1,327,-15.7833,-47.9167
179,179,179,http://estrela.angeloni.com.br:8888/estrela/ws/jws/PesquisaWS.jws?wsdl,1737,1471,10,1,1006,-10.0,-55.0
180,180,180,http://estrela.angeloni.com.br:8888/estrela/ws/jws/TesteWS.jws?wsdl,1737,1471,10,1,1006,-10.0,-55.0
181,181,181,http://www.checkexpress.com.br/ws_office_bacen/registration.asmx?WSDL,2142,1801,10,2,601,-23.4733,-46.6658
182,182,182,http://www.comunique-se.com.br/proveDados.asmx?WSDL,954,2309,10,2,1190,-10.0,-55.0
183,183,183,http://www.comunique-se.com.br/webDistribuidor.asmx?WSDL,954,2309,10,2,1190,-10.0,-55.0
184,184,184,http://www.sefaz.rs.gov.br/wsPIIFrs/wspiifrs.asmx?WSDL,1913,1764,10,5,1114,,
185,185,185,http://www.scielo.br/webservices/indexBVS.php?wsdl,1276,2454,10,2,1545,-10.0,-55.0
186,186,186,http://200.140.194.54/wspcceBarranquilla/wspcce.asmx?WSDL,160,160,10,2,354,-25.55,-54.5833
187,187,187,http://www.localizaanimal.com.br/wsdl.xml,1667,1265,10,2,1478,-15.7833,-47.9167
188,188,188,http://sngpc.anvisa.gov.br/webservice/sngpc.asmx?WSDL,1810,1210,10,2,1478,-15.7833,-47.9167
189,189,189,http://bases.bvs.br/webservices/index.php?wsdl,357,833,10,2,1545,-23.4733,-46.6658
190,190,190,http://www.bibliotecavirtualensalud.org/apps/basesws/index.php?wsdl,163,162,10,5,91,,
191,191,191,http://www.bireme.org/apps/basesws/index.php?wsdl,2567,1510,10,2,1545,-23.4733,-46.6658
192,192,192,http://www.bvsaude.org/apps/basesws/index.php?wsdl,195,191,10,5,119,,
193,193,193,http://www.clearsale.com.br/aplicacao/entrada.asmx?WSDL,460,211,1,0,1499,29.4889,-98.3987
194,194,194,http://cochrane.bireme.br/webservices/index.php?wsdl,1373,2302,10,2,1545,-23.4733,-46.6658
195,195,195,http://shopping.correios.com.br/wbm/shopping/script/consultarfrete.asmx?WSDL,1146,233,10,2,1190,-10.0,-55.0
196,196,196,http://ws.cronostelemetria.com.br/WebServices/Service.asmx?wsdl,2297,290,10,0,1582,33.6119,-111.8906
197,197,197,http://www.digimess.com.br/ImportWS/ImportWS.asmx?wsdl,1197,1583,10,2,102,-10.0,-55.0
198,198,198,http://diretorios.bvs.br/webservices/index.php?wsdl,1869,1510,10,2,1545,-23.4733,-46.6658
199,199,199,http://suporte.infomed.inf.br/desenvtiss/Services/tissTransmiteMensagem.asmx?WSDL,1935,427,10,2,1190,-7.1167,-34.8667
200,200,200,http://inf.unisinos.br/~swm/swservice.php?wsdl,2217,1553,10,2,426,-10.0,-55.0
201,201,201,http://mercedes-benz.com.br/webservice/WSPalavra.asmx?WSDL,669,2205,10,1,1024,-10.0,-55.0
202,202,202,http://www.sicadi.com.br/mhouse/sicadi/webservices/indices.wsdl,122,2098,10,1,958,-10.0,-55.0
203,203,203,http://www.smartwebsuite.net/webservice_meeting.asmx?WSDL,2403,459,10,1,1406,-23.4733,-46.6658
204,204,204,http://www.virtualhealthlibrary.org/apps/basesws/index.php?wsdl,2200,2060,10,5,1280,,
205,205,205,http://intranet.wappa.com.br/WebServices/Taxi.asmx?WSDL,2686,2014,10,2,1202,-10.0,-55.0
206,206,206,http://www.wmbrasil.com.br/wmlicenca/webservice.asmx?WSDL,308,1973,10,1,551,38.8951,-77.0364
207,207,207,http://www.bireme.br/apps/basesws/index.php?wsdl,1456,1510,10,2,1545,-23.4733,-46.6658
208,208,208,http://www.bvs.br/apps/basesws/index.php?wsdl,1447,1510,10,2,1545,-23.4733,-46.6658
209,209,209,http://www.zap.com.br/imoveis/CascadingDropServiceImoveis.asmx?WSDL,72,1348,10,2,734,-10.0,-55.0
210,210,210,http://slk.icentres.net/_vti_bin/BusinessDataCatalog.asmx?wsdl,94,717,39,0,1290,32.8073,-117.1324
211,211,211,http://slk.icentres.net/_vti_bin/People.asmx?wsdl,94,717,39,0,1290,32.8073,-117.1324
212,212,212,http://slk.icentres.net/_vti_bin/Authentication.asmx?wsdl,94,717,39,0,1290,32.8073,-117.1324
213,213,213,http://www.law.uni-sofia.bg/_vti_bin/People.asmx?wsdl,915,2057,39,0,671,42.6833,23.3167
214,214,214,http://www.law.uni-sofia.bg/_vti_bin/Authentication.asmx?wsdl,915,2057,39,0,671,42.6833,23.3167
215,215,215,http://hs19.iccs.bas.bg/work/soap/books.php?wsdl,1119,1023,39,5,668,,
216,216,216,http://hs19.iccs.bas.bg/work/nusoap/nusoap.0.7.2/lib/addexample2.php?wsdl,1119,1023,39,5,668,,
217,217,217,http://www.postbank.bg/TransformationService.asmx?WSDL,1257,468,39,2,768,42.6833,23.3167
218,218,218,http://biomoby.org/services/wsdl/icapture.ubc.ca/Gene2Ontology,1670,2516,23,0,1288,49.25,-123.1333
219,219,219,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2NCBI,1670,2516,23,0,1288,49.25,-123.1333
220,220,220,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINSTADEN2FASTA,1670,2516,23,0,1288,49.25,-123.1333
221,221,221,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINRefNBRF2FASTA,1670,2516,23,0,1288,49.25,-123.1333
222,222,222,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2CLUSTAL,1670,2516,23,0,1288,49.25,-123.1333
223,223,223,http://biomoby.org/services/wsdl/antirrhinum.net/parseDragonDBBlastText,1670,2516,23,0,1288,49.25,-123.1333
224,224,224,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAIG2FASTA,1670,2516,23,0,1288,49.25,-123.1333
225,225,225,http://biomoby.org/services/wsdl/atidb.org/getGOTermsByAGICode,1670,2516,23,0,1288,49.25,-123.1333
226,226,226,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2NBRF,1670,2516,23,0,1288,49.25,-123.1333
